route_id,direction_id,route_path_id,path_sequence,stop_lat,stop_lon,stop_id,stop_name,agency,route_short_name,route_long_name,route_type,route_color,route_text_color,peak_15min_weekday,day_15min_weekday,night_60min_weekday,allday_60min_weekend,census_tract_geoid,census_tract_name,county_fips,tract_code
36924,0,36924_0,1,45.628901,-122.686544,VAN,Vancouver,Amtrak,,,,,,NO,NO,NO,YES,53011042400,424,011,042400
36924,0,36924_0,2,46.142264,-122.913016,KEL,Kelso-Longview,Amtrak,,,,,,NO,NO,NO,YES,53015001100,11,015,001100
36924,0,36924_0,3,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400
36924,0,36924_0,4,46.991273,-122.794059,OLW,Olympia-Lacey Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53067011624,116.24,067,011624
36924,0,36924_0,5,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200
36924,0,36924_0,6,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300
36924,1,36924_1,1,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300
36924,1,36924_1,2,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200
36924,1,36924_1,3,46.991273,-122.794059,OLW,Olympia-Lacey Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53067011624,116.24,067,011624
36924,1,36924_1,4,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400
36924,1,36924_1,5,46.142264,-122.913016,KEL,Kelso-Longview,Amtrak,,,,,,NO,NO,NO,YES,53015001100,11,015,001100
36924,1,36924_1,6,45.628901,-122.686544,VAN,Vancouver,Amtrak,,,,,,NO,NO,NO,YES,53011042400,424,011,042400
42954,0,42954_0,1,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300
42954,0,42954_0,2,47.975401,-122.197858,EVR,Everett Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53061040700,407,061,040700
42954,0,42954_0,3,48.41847,-122.334738,MVW,Mount Vernon Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53057952500,9525,057,952500
42954,0,42954_0,4,48.720263,-122.511255,BEL,Bellingham Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53073001101,11.01,073,001101
42954,1,42954_1,1,48.720263,-122.511255,BEL,Bellingham Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53073001101,11.01,073,001101
42954,1,42954_1,2,48.41847,-122.334738,MVW,Mount Vernon Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53057952500,9525,057,952500
42954,1,42954_1,3,47.975401,-122.197858,EVR,Everett Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53061040700,407,061,040700
42954,1,42954_1,4,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300
60,0,60_0,1,45.628901,-122.686544,VAN,Vancouver,Amtrak,,,,,,NO,NO,NO,YES,53011042400,424,011,042400
60,0,60_0,2,46.142264,-122.913016,KEL,Kelso-Longview,Amtrak,,,,,,NO,NO,NO,YES,53015001100,11,015,001100
60,0,60_0,3,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400
60,0,60_0,4,46.991273,-122.794059,OLW,Olympia-Lacey Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53067011624,116.24,067,011624
60,0,60_0,5,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200
60,0,60_0,6,47.461081,-122.240254,TUK,Tukwila Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53033026200,262,033,026200
60,0,60_0,7,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300
60,0,60_0,8,47.811081,-122.384141,EDM,Edmonds,Amtrak,,,,,,NO,NO,NO,NO,53061050501,505.01,061,050501
60,0,60_0,9,47.975401,-122.197858,EVR,Everett Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53061040700,407,061,040700
60,0,60_0,10,48.242638,-122.349935,STW,Stanwood Amtrak,Amtrak,,,,,,NO,YES,NO,NO,53061053301,533.01,061,053301
60,0,60_0,11,48.41847,-122.334738,MVW,Mount Vernon Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53057952500,9525,057,952500
60,0,60_0,12,48.720263,-122.511255,BEL,Bellingham Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53073001101,11.01,073,001101
60,1,60_1,1,47.598445,-122.330161,SEA,Seattle,Amtrak,,,,,,NO,NO,NO,YES,53033009300,93,033,009300
60,1,60_1,2,47.461081,-122.240254,TUK,Tukwila Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53033026200,262,033,026200
60,1,60_1,3,47.239803,-122.428099,TAC,Tacoma,Amtrak,,,,,,NO,NO,NO,YES,53053060200,602,053,060200
60,1,60_1,4,46.991273,-122.794059,OLW,Olympia-Lacey Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53067011624,116.24,067,011624
60,1,60_1,5,46.71747,-122.953062,CTL,Centralia Amtrak Station,Amtrak,,,,,,NO,NO,NO,YES,53041970400,9704,041,970400
60,1,60_1,6,46.142264,-122.913016,KEL,Kelso-Longview,Amtrak,,,,,,NO,NO,NO,YES,53015001100,11,015,001100
60,1,60_1,7,45.628901,-122.686544,VAN,Vancouver,Amtrak,,,,,,NO,NO,NO,YES,53011042400,424,011,042400
75,0,75_0,1,47.65672,-117.415455,SPK,Spokane,Amtrak,,,,,,NO,NO,NO,NO,53063003500,35,063,003500
75,0,75_0,2,46.237012,-119.087729,PSC,Pasco Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53021020202,202.02,021,020202
75,0,75_0,3,45.657669,-120.966142,WIH,Wishram Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53039950200,9502,039,950200
75,0,75_0,4,45.71502,-121.46873,BNG,Bingen-White Salmon Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53039950302,9503.02,039,950302
75,0,75_0,5,45.628901,-122.686544,VAN,Vancouver,Amtrak,,,,,,NO,NO,NO,YES,53011042400,424,011,042400
75,1,75_1,1,45.628901,-122.686544,VAN,Vancouver,Amtrak,,,,,,NO,NO,NO,YES,53011042400,424,011,042400
75,1,75_1,2,45.71502,-121.46873,BNG,Bingen-White Salmon Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53039950302,9503.02,039,950302
75,1,75_1,3,45.657669,-120.966142,WIH,Wishram Amtrak,Amtrak,,,,,,NO,NO,NO,NO,53039950200,9502,039,950200
75,1,75_1,4,46.237012,-119.087729,PSC,Pasco Amtrak Station,Amtrak,,,,,,NO,NO,NO,NO,53021020202,202.02,021,020202
75,1,75_1,5,47.65672,-117.415455,SPK,Spokane,Amtrak,,,,,,NO,NO,NO,NO,53063003500,35,063,003500
32514,0,32514_0,1,46.419092910564075,-117.04413465427888,3450298,DSHS Red Line Shelter,Asotin County PTBA,,,,,,YES,YES,NO,YES,53003960300,9603,003,960300
32514,0,32514_0,2,46.42100123800884,-117.04409915955824,3450300,Albertsons,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300
32514,0,32514_0,3,46.421800680717666,-117.04795939786766,3451427,Walmart Red Line Shelter,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960300,9603,003,960300
32514,0,32514_0,4,46.42178289099124,-117.0531756800681,3450327,Asotin Co Housing Authority,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300
32514,0,32514_0,5,46.42122939463133,-117.06394300872401,3450330,Fair Street Apartments,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300
32514,0,32514_0,6,46.419979562752644,-117.06772717063949,3450332,Walla Walla CC,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960300,9603,003,960300
32514,0,32514_0,7,46.41859107584412,-117.0691685127266,3450046,PTBA Office,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960200,9602,003,960200
32514,0,32514_0,8,46.41458890530009,-117.06916169635066,3450337,15th Street and Elm Street,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960400,9604,003,960400
32514,0,32514_0,9,46.41095790078658,-117.06921051379534,3450338,15th Street And Chestnut Street,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960400,9604,003,960400
32514,0,32514_0,10,46.401279,-117.07208,3450036,Aquatic Center,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960200,9602,003,960200
32514,0,32514_0,11,46.40141517167608,-117.08018399491965,3451428,Appleside and Valley View Blvd,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960200,9602,003,960200
32514,0,32514_0,12,46.3885116648067,-117.0828290280758,3451429,Heights Grocery,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960200,9602,003,960200
32514,0,32514_0,13,46.38523891161284,-117.08064906985871,3451430,Sonary Crest,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960200,9602,003,960200
32514,0,32514_0,14,46.38526404592104,-117.07077106914639,3451431,6th Ave and 17th Street,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960200,9602,003,960200
32514,0,32514_0,15,46.388908676012335,-117.06647032359845,3451432,Rankin Hill and Peaslee,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960200,9602,003,960200
32514,0,32514_0,16,46.38666554280214,-117.05851009541723,3451433,13th and Peaslee,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960200,9602,003,960200
32514,0,32514_0,17,46.39276950242479,-117.05986849587167,3451434,13th Street and 20th Ave,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960600,9606,003,960600
32514,0,32514_0,18,46.403570278400394,-117.05812417884714,3450339,Highland Grocery,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960500,9605,003,960500
32514,0,32514_0,19,46.403561006765266,-117.05469681074844,3450044,Tri - State Memorial Hospital,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960500,9605,003,960500
32514,0,32514_0,20,46.40989422014227,-117.0455503463745,3450040,Clarkston High School,Asotin County PTBA,,,,,,NO,NO,NO,NO,53003960500,9605,003,960500
32514,0,32514_0,21,46.41255,-117.04398,3450039,Asotin County Library,Asotin County PTBA,,,,,,NO,NO,NO,YES,53003960500,9605,003,960500
32514,0,32514_0,22,46.419092910564075,-117.04413465427888,3450298,DSHS Red Line Shelter,Asotin County PTBA,,,,,,YES,YES,NO,YES,53003960300,9603,003,960300
